Location_ID,Heritage_Type,Tourist_Review_Text,Social_Media_Post,Policy_Context,Visitor_Count,Ticket_Price,Accommodation_Occupancy,Transport_Availability,Food_Service_Rating,Guided_Tour_Availability,Souvenir_Sales,Local_Workshop_Participation,Resource_Utilization,Booking_Inquiries,Booking_Conversions,Tourist_Satisfaction,Repeat_Visit_Rate,Marketing_Reach,Revenue_Generated,Operational_Cost,Booking_Conversion_Rate,Economic_Benefit_Score,Industry_Chain_Performance
L0039,Temple,Historic place with good guides and storytelling,Loved the traditional village lifestyle,Rural tourism promotion program,234,14,78.42,12,3.55,5,14833,191,77.43,459,86,4.65,51.31,48146,23878,25008,0.18736383442265794,0.5547104297419887,0.8239800000000002
L0040,Fort,Beautiful heritage site with great cultural experience,Visited this amazing heritage destination today!,Sustainable rural tourism policy,254,75,61.05,18,3.31,3,5165,63,55.75,444,100,3.41,48.26,7931,27986,48734,0.22522522522522523,0.460888157405848,0.6107499999999999
L0041,Fort,Very authentic rural tourism experience,Exploring rural culture and traditional crafts,Community-based tourism program,413,33,40.61,10,3.89,2,17847,99,53.73,207,300,3.56,18.76,7815,21172,24604,1.0,0.47712934116164396,0.55035
L0042,Traditional Market,Amazing traditional crafts and friendly locals,Exploring rural culture and traditional crafts,Local tourism development scheme,265,27,58.21,14,3.47,5,13478,59,73.49,167,137,4.6,37.51,41565,29529,26616,0.8203592814371258,0.6038865353212197,0.7445900000000001
L0043,Historic Village,Well preserved heritage with engaging workshops,Great destination for heritage tourism,Sustainable rural tourism policy,295,36,73.45,11,3.15,2,1929,88,80.4,114,126,3.57,46.08,42482,14710,32543,1.0,0.5525592692465419,0.7561500000000001
L0044,Folk Art Center,Beautiful heritage site with great cultural experience,Loved the traditional village lifestyle,Sustainable rural tourism policy,288,33,52.41,18,4.76,6,19270,136,61.84,134,234,4.63,18.46,12245,8149,29869,1.0,0.5073221349483391,0.68239
L0045,Handicraft Center,Historic place with good guides and storytelling,A perfect place for cultural tourism,Community-based tourism program,440,38,77.83,12,3.27,0,8673,14,62.02,472,324,2.67,17.32,30803,98197,17312,0.6864406779661016,0.646816944900802,0.64177
L0046,Handicraft Center,Very authentic rural tourism experience,Exploring rural culture and traditional crafts,Community-based tourism program,569,20,83.69,17,4.25,8,8671,164,92.48,192,393,4.23,28.79,46671,38984,15716,1.0,0.6566215650786665,0.8747900000000001
L0047,Folk Art Center,Excellent food and local cultural activities,Loved the traditional village lifestyle,Cultural heritage conservation initiative,639,27,64.98,3,3.37,9,8918,5,68.52,141,23,2.66,55.93,5413,19773,11567,0.16312056737588654,0.42957851634410604,0.62862
L0048,Traditional Market,Historic place with good guides and storytelling,Visited this amazing heritage destination today!,Cultural heritage conservation initiative,326,13,88.16,1,3.59,1,4911,170,94.25,333,183,4.48,13.39,49750,61507,3483,0.5495495495495496,0.6720997125040403,0.91028
L0049,Cultural Museum,Amazing traditional crafts and friendly locals,Great destination for heritage tourism,Sustainable rural tourism policy,251,42,87.01,1,3.09,3,15202,44,87.46,223,384,3.88,27.94,49639,10965,28230,1.0,0.5437319094009743,0.8436700000000001
L0050,Cultural Museum,Very authentic rural tourism experience,Enjoyed local food and cultural activities,Cultural heritage conservation initiative,263,87,88.29,6,4.38,5,5412,75,75.18,184,159,3.89,50.32,34910,32180,15368,0.8641304347826086,0.6033133211365691,0.7989900000000001
L0051,Traditional Market,Crowded during peak season but worth visiting,Visited this amazing heritage destination today!,Local tourism development scheme,655,51,76.36,19,4.34,5,1717,198,40.5,241,197,3.44,27.21,27624,61521,3735,0.8174273858921162,0.5601595049601495,0.59748
L0052,Cultural Museum,Crowded during peak season but worth visiting,Exploring rural culture and traditional crafts,Rural tourism promotion program,527,41,56.76,4,2.56,7,7365,155,56.28,442,94,4.76,12.75,5875,47725,30715,0.21266968325791855,0.5341570413911355,0.6809999999999999
L0053,Fort,Nice cultural atmosphere but transport could improve,Exploring rural culture and traditional crafts,Sustainable rural tourism policy,557,60,66.47,13,2.65,7,18041,179,62.97,278,395,3.77,41.63,34080,67688,32969,1.0,0.6799916523970033,0.67749
L0054,Handicraft Center,Beautiful heritage site with great cultural experience,Visited this amazing heritage destination today!,Rural tourism promotion program,124,13,79.08,12,4.81,3,2212,105,75.9,96,129,3.15,57.89,4144,28364,17181,1.0,0.5812448730733454,0.72984
L0055,Traditional Market,Excellent food and local cultural activities,Exploring rural culture and traditional crafts,Cultural heritage conservation initiative,718,29,51.58,8,4.72,5,7435,162,61.75,94,334,4.56,38.98,40239,87511,14367,1.0,0.7725581435101371,0.6753399999999999
L0056,Handicraft Center,Nice cultural atmosphere but transport could improve,Loved the traditional village lifestyle,Community-based tourism program,714,94,80.64,7,3.77,8,16284,65,85.53,477,152,4.87,50.72,31202,26523,23041,0.31865828092243187,0.6020915410919732,0.87624
L0057,Folk Art Center,Very authentic rural tourism experience,Exploring rural culture and traditional crafts,Sustainable rural tourism policy,191,76,70.14,7,3.73,6,1757,153,76.46,241,315,3.11,10.71,49339,33112,28386,1.0,0.5238418649416378,0.7028599999999999
L0058,Temple,Crowded during peak season but worth visiting,Great destination for heritage tourism,Cultural heritage conservation initiative,639,98,45.28,7,4.53,7,7902,147,59.09,220,249,4.01,43.03,40030,90768,13454,1.0,0.7555861958511287,0.6128
L0059,Fort,Crowded during peak season but worth visiting,Loved the traditional village lifestyle,Local tourism development scheme,371,77,70.65,14,2.85,7,6536,189,83.14,241,221,3.97,17.55,33644,44525,38835,0.91701244813278,0.6164093014551728,0.78271
L0060,Heritage Street,Crowded during peak season but worth visiting,A perfect place for cultural tourism,Sustainable rural tourism policy,743,71,43.67,18,4.13,1,15271,128,56.67,112,193,4.02,44.93,33789,92017,20370,1.0,0.7578439828864061,0.5988899999999999
L0061,Fort,Very authentic rural tourism experience,Exploring rural culture and traditional crafts,Sustainable rural tourism policy,510,67,40.79,19,3.69,6,6572,91,43.45,57,200,3.91,38.51,28603,84048,41396,1.0,0.6923619613618859,0.5307700000000001
L0062,Traditional Market,Crowded during peak season but worth visiting,Exploring rural culture and traditional crafts,Community-based tourism program,756,56,88.93,19,4.36,2,12867,180,49.49,449,353,2.75,21.08,46176,52438,42077,0.7861915367483296,0.5040661965538376,0.62975
L0063,Heritage Street,Historic place with good guides and storytelling,Great destination for heritage tourism,Sustainable rural tourism policy,719,84,66.95,18,2.58,6,6125,29,40.15,253,35,3.53,39.25,3404,85173,8807,0.1383399209486166,0.5850816623556164,0.5732499999999999
L0064,Temple,Well preserved heritage with engaging workshops,Great destination for heritage tourism,Community-based tourism program,195,89,69.88,6,3.98,1,16492,187,85.78,140,370,4.96,43.81,20009,50133,35345,1.0,0.735705590423989,0.85036
L0065,Traditional Market,Very authentic rural tourism experience,Enjoyed local food and cultural activities,Cultural heritage conservation initiative,103,68,55.4,16,3.89,0,6093,9,74.49,68,134,2.72,55.11,45291,96592,19431,1.0,0.7574818657418058,0.62736
L0066,Historic Village,Excellent food and local cultural activities,Visited this amazing heritage destination today!,Local tourism development scheme,405,15,69.85,3,4.6,8,15848,108,71.38,53,251,4.17,54.44,13957,40464,26525,1.0,0.6543374976745115,0.74527
L0067,Handicraft Center,Well preserved heritage with engaging workshops,Visited this amazing heritage destination today!,Local tourism development scheme,326,49,49.29,2,4.19,9,1082,149,76.41,173,351,4.74,56.82,48892,13608,45703,1.0,0.6158825748407165,0.7379100000000001
L0068,Temple,Nice cultural atmosphere but transport could improve,Visited this amazing heritage destination today!,Sustainable rural tourism policy,644,86,81.01,15,4.7,9,8966,28,75.95,149,292,3.0,52.06,45981,26560,5328,1.0,0.5596867363146261,0.72683
L0069,Handicraft Center,Excellent food and local cultural activities,Great destination for heritage tourism,Sustainable rural tourism policy,449,32,85.28,11,4.72,0,18784,68,71.1,398,284,4.51,37.04,40866,26236,22525,0.7135678391959799,0.5733413160713497,0.81084
L0070,Cultural Museum,Well preserved heritage with engaging workshops,Visited this amazing heritage destination today!,Cultural heritage conservation initiative,717,61,87.07,19,3.52,0,18042,135,86.33,75,46,3.1,52.46,21292,90662,21018,0.6133333333333333,0.7397264623904354,0.79253
L0071,Historic Village,Amazing traditional crafts and friendly locals,Visited this amazing heritage destination today!,Community-based tourism program,565,13,45.87,18,2.84,2,14599,180,64.25,119,301,2.58,46.11,38382,36689,6984,1.0,0.5367551189249742,0.54941
L0072,Historic Village,Crowded during peak season but worth visiting,A perfect place for cultural tourism,Local tourism development scheme,548,46,70.68,11,4.08,0,12064,138,84.26,154,230,3.8,46.9,4659,99153,16727,1.0,0.8263914795106972,0.77708
L0073,Temple,Amazing traditional crafts and friendly locals,Visited this amazing heritage destination today!,Community-based tourism program,360,51,84.48,3,4.68,6,18721,153,83.26,391,328,4.28,17.73,11344,43650,23404,0.8388746803069054,0.6219799733067987,0.84328
L0074,Historic Village,Beautiful heritage site with great cultural experience,Exploring rural culture and traditional crafts,Cultural heritage conservation initiative,320,53,47.05,4,2.69,6,15489,146,50.97,55,304,2.99,18.98,41493,5294,49610,1.0,0.3957953359205433,0.52443
L0075,Heritage Street,Beautiful heritage site with great cultural experience,Enjoyed local food and cultural activities,Local tourism development scheme,625,51,45.47,6,3.89,7,15895,146,64.96,187,256,2.68,19.01,32949,79449,35053,1.0,0.6308320633833104,0.5570499999999999
L0076,Historic Village,Well preserved heritage with engaging workshops,Great destination for heritage tourism,Local tourism development scheme,498,38,84.93,12,2.79,1,12416,157,85.92,225,137,3.88,20.46,37859,58600,45753,0.6088888888888889,0.6332558146432973,0.83127
L0077,Handicraft Center,Amazing traditional crafts and friendly locals,Loved the traditional village lifestyle,Rural tourism promotion program,161,28,83.82,4,2.57,6,9885,35,85.7,494,116,2.87,30.9,2830,55544,31952,0.23481781376518218,0.551398781446533,0.7664599999999999
L0078,Handicraft Center,Very authentic rural tourism experience,Enjoyed local food and cultural activities,Cultural heritage conservation initiative,288,93,64.68,12,4.2,8,5327,169,41.32,301,345,2.96,25.77,25770,70139,21418,1.0,0.5797561968513388,0.5369200000000001
L0079,Traditional Market,Excellent food and local cultural activities,A perfect place for cultural tourism,Cultural heritage conservation initiative,193,41,46.03,4,4.2,9,12719,183,52.27,103,232,4.26,12.45,37822,89299,30775,1.0,0.7041682701867391,0.60277
L0080,Handicraft Center,Amazing traditional crafts and friendly locals,Great destination for heritage tourism,Rural tourism promotion program,423,53,68.39,2,4.0,4,15238,8,63.31,94,344,4.03,46.2,2638,62816,38288,1.0,0.6859075823923024,0.70021
L0081,Traditional Market,Beautiful heritage site with great cultural experience,Great destination for heritage tourism,Community-based tourism program,69,64,61.71,12,4.65,9,11871,134,42.59,109,170,4.87,30.16,42175,22215,10760,1.0,0.5405789983896618,0.64769
L0082,Handicraft Center,Amazing traditional crafts and friendly locals,Exploring rural culture and traditional crafts,Rural tourism promotion program,625,89,68.52,13,2.7,2,1863,17,54.33,140,297,3.31,13.9,14992,63229,34533,1.0,0.5847368426369538,0.6214799999999999
L0083,Heritage Street,Very authentic rural tourism experience,Enjoyed local food and cultural activities,Cultural heritage conservation initiative,338,14,64.19,16,2.76,8,18633,136,54.21,118,265,3.04,49.45,43976,71224,6726,1.0,0.6483118805449145,0.59181
L0084,Folk Art Center,Amazing traditional crafts and friendly locals,Enjoyed local food and cultural activities,Community-based tourism program,642,55,71.27,4,4.66,0,14935,133,51.8,344,251,4.14,10.98,31751,31815,14661,0.7296511627906976,0.49550016393907836,0.66941
L0085,Traditional Market,Excellent food and local cultural activities,Visited this amazing heritage destination today!,Local tourism development scheme,246,85,79.99,8,3.76,2,10410,197,61.82,291,129,4.93,37.99,34443,66644,20698,0.44329896907216493,0.6714288914460695,0.78305
L0086,Fort,Nice cultural atmosphere but transport could improve,Exploring rural culture and traditional crafts,Rural tourism promotion program,431,54,82.62,5,3.18,1,8361,44,84.72,94,15,3.88,47.86,36714,95736,40339,0.1595744680851064,0.7384557731570438,0.8195399999999999
L0087,Cultural Museum,Very authentic rural tourism experience,Visited this amazing heritage destination today!,Community-based tourism program,630,30,75.69,14,4.35,1,16378,149,53.43,372,370,3.23,28.63,39341,45341,3418,0.9946236559139785,0.5468189364212721,0.63459
L0088,Temple,Beautiful heritage site with great cultural experience,Visited this amazing heritage destination today!,Community-based tourism program,747,87,50.94,15,4.74,2,5806,78,72.01,156,131,4.78,38.7,23367,87598,6202,0.8397435897435898,0.7878935573060087,0.72766
L0089,Handicraft Center,Excellent food and local cultural activities,Great destination for heritage tourism,Community-based tourism program,728,31,61.84,11,4.22,9,6383,197,70.67,425,154,4.03,12.53,46751,57079,3640,0.3623529411764706,0.569143261440785,0.7100000000000001
L0090,Historic Village,Amazing traditional crafts and friendly locals,Enjoyed local food and cultural activities,Rural tourism promotion program,766,39,43.92,10,4.48,6,14826,86,84.99,280,267,3.03,21.85,40530,44118,8721,0.9535714285714286,0.5819939430351803,0.65352
L0091,Folk Art Center,Amazing traditional crafts and friendly locals,Visited this amazing heritage destination today!,Local tourism development scheme,541,32,64.84,10,3.21,5,10686,159,61.67,231,89,4.87,43.18,24619,61982,3461,0.3852813852813853,0.6561231953900796,0.7334
L0092,Handicraft Center,Nice cultural atmosphere but transport could improve,A perfect place for cultural tourism,Community-based tourism program,213,14,93.37,6,3.22,8,15574,194,52.3,395,320,3.18,49.52,20596,6341,4039,0.810126582278481,0.43791965389693865,0.68011
L0093,Historic Village,Beautiful heritage site with great cultural experience,A perfect place for cultural tourism,Rural tourism promotion program,655,72,75.3,16,4.66,9,3336,120,89.03,62,120,4.75,15.72,28568,34560,30374,1.0,0.6428417773732484,0.86702
L0094,Cultural Museum,Beautiful heritage site with great cultural experience,Enjoyed local food and cultural activities,Cultural heritage conservation initiative,298,68,48.5,4,4.04,9,17751,143,85.81,117,260,4.04,58.31,35026,52212,26536,1.0,0.7177539004690985,0.73114
L0095,Cultural Museum,Historic place with good guides and storytelling,A perfect place for cultural tourism,Rural tourism promotion program,117,91,54.77,9,3.09,2,17795,129,74.18,305,277,3.76,29.73,39242,98708,44504,0.9081967213114754,0.7679608712329591,0.6866300000000001
L0096,Cultural Museum,Beautiful heritage site with great cultural experience,Great destination for heritage tourism,Rural tourism promotion program,70,61,43.55,10,3.81,4,9034,194,45.13,93,374,3.33,56.23,5587,50210,31293,1.0,0.5917666389441782,0.51097
L0097,Historic Village,Nice cultural atmosphere but transport could improve,Exploring rural culture and traditional crafts,Rural tourism promotion program,561,74,50.03,5,4.21,8,17737,40,40.89,147,60,2.8,36.98,44822,34801,9918,0.40816326530612246,0.42249125576575164,0.48164999999999997
L0098,Handicraft Center,Crowded during peak season but worth visiting,Loved the traditional village lifestyle,Community-based tourism program,646,48,66.83,10,3.05,2,18722,178,50.04,51,57,3.11,42.2,38911,52056,21208,1.0,0.5750808021684554,0.58725
L0099,Cultural Museum,Historic place with good guides and storytelling,Visited this amazing heritage destination today!,Rural tourism promotion program,439,90,58.97,16,4.14,7,17712,13,50.82,235,176,3.33,18.8,16399,18726,2572,0.7489361702127659,0.4274234168792468,0.57999
L0100,Heritage Street,Historic place with good guides and storytelling,Loved the traditional village lifestyle,Cultural heritage conservation initiative,585,12,51.22,11,2.61,8,10685,176,47.49,292,218,3.22,54.24,8480,71393,45771,0.7465753424657534,0.6262215212838531,0.53682
L0101,Traditional Market,Amazing traditional crafts and friendly locals,Exploring rural culture and traditional crafts,Community-based tourism program,160,51,48.06,6,3.26,6,9155,176,54.42,383,114,2.68,14.37,40277,26013,24505,0.29765013054830286,0.37221540468707304,0.52266
L0102,Historic Village,Amazing traditional crafts and friendly locals,Exploring rural culture and traditional crafts,Cultural heritage conservation initiative,644,80,76.08,7,4.18,5,12021,26,58.58,86,79,3.95,59.37,4301,62320,43889,0.9186046511627907,0.682574734962947,0.6995600000000001
L0103,Historic Village,Beautiful heritage site with great cultural experience,Great destination for heritage tourism,Sustainable rural tourism policy,509,36,70.7,12,2.87,5,2486,80,81.49,250,128,3.69,29.6,20268,76711,36431,0.512,0.673261338080997,0.75946
L0104,Handicraft Center,Historic place with good guides and storytelling,A perfect place for cultural tourism,Rural tourism promotion program,127,37,86.35,13,3.06,5,8607,166,79.02,402,370,2.77,18.22,8486,64711,39838,0.9203980099502488,0.6100835774880884,0.74133
L0105,Historic Village,Well preserved heritage with engaging workshops,A perfect place for cultural tourism,Community-based tourism program,483,63,50.08,17,4.7,4,18121,72,45.74,254,355,3.66,40.29,26075,27205,10544,1.0,0.5165471427499775,0.5528
L0106,Historic Village,Amazing traditional crafts and friendly locals,Exploring rural culture and traditional crafts,Community-based tourism program,429,24,86.64,9,4.19,6,6367,163,93.74,173,10,2.7,53.29,30842,5987,48741,0.057803468208092484,0.4261601194230557,0.79688
L0107,Cultural Museum,Nice cultural atmosphere but transport could improve,Great destination for heritage tourism,Rural tourism promotion program,701,62,71.79,8,3.75,6,4888,9,81.37,31,311,4.83,29.85,17189,26494,15491,1.0,0.6285136947258924,0.8306500000000001
L0108,Handicraft Center,Well preserved heritage with engaging workshops,Great destination for heritage tourism,Local tourism development scheme,489,81,54.64,16,3.03,6,14482,92,48.99,56,72,3.15,10.43,44462,56689,31667,1.0,0.5412277215715301,0.54888
L0109,Cultural Museum,Amazing traditional crafts and friendly locals,Enjoyed local food and cultural activities,Local tourism development scheme,388,79,55.05,3,3.35,2,7892,131,46.85,189,68,4.31,53.61,49413,10166,34588,0.35978835978835977,0.4560982419040803,0.61115
L0110,Traditional Market,Very authentic rural tourism experience,Visited this amazing heritage destination today!,Cultural heritage conservation initiative,473,13,61.47,5,3.94,5,5843,84,44.82,332,312,3.13,39.07,15936,62344,17869,0.9397590361445783,0.5857921885843016,0.5514899999999999
L0111,Folk Art Center,Very authentic rural tourism experience,A perfect place for cultural tourism,Rural tourism promotion program,218,26,65.31,13,2.89,8,7291,100,80.25,31,281,3.69,14.64,39785,89931,9337,1.0,0.7368096684303703,0.7383299999999999
L0112,Traditional Market,Amazing traditional crafts and friendly locals,Exploring rural culture and traditional crafts,Rural tourism promotion program,758,43,44.54,18,3.7,8,3668,1,53.0,193,55,4.83,55.3,6319,8535,35293,0.2849740932642487,0.48455778750584255,0.63542
